,Date,Last Close Price,Open,High,Low,Volume,Percentage Changes,Events
219,"Mar 25, 2019",295.05,297.00,297.00,293.20,8.02M,-1.06%,
220,"Mar 22, 2019",298.20,300.00,300.00,296.55,8.07M,-0.23%,
221,"Mar 20, 2019",298.90,300.00,301.95,296.60,15.62M,-0.18%,
222,"Mar 19, 2019",299.45,294.60,300.00,293.35,15.76M,1.94%,
223,"Mar 18, 2019",293.75,292.00,294.20,291.30,9.17M,1.01%,
224,"Mar 15, 2019",290.80,295.95,296.55,289.35,21.40M,-1.59%,
225,"Mar 14, 2019",295.50,295.40,296.00,290.45,10.11M,0.20%,
226,"Mar 13, 2019",294.90,295.00,297.00,294.15,11.07M,0.14%,
227,"Mar 12, 2019",294.50,294.00,295.65,293.15,14.14M,0.53%,
228,"Mar 11, 2019",292.95,293.00,294.90,291.10,14.72M,0.33%,
229,"Mar 08, 2019",292.00,290.30,293.00,288.40,12.68M,0.65%,
230,"Mar 07, 2019",290.10,286.70,291.00,285.85,14.29M,1.52%,
231,"Mar 06, 2019",285.75,285.00,289.20,284.75,20.05M,1.13%,
232,"Mar 05, 2019",282.55,280.00,284.00,276.05,13.58M,1.56%,
233,"Mar 01, 2019",278.20,276.45,279.00,276.25,8.83M,0.78%,
234,"Feb 28, 2019",276.05,277.30,277.30,274.25,43.21M,0.35%,
235,"Feb 27, 2019",275.10,276.00,278.90,273.90,13.13M,-0.15%,
236,"Feb 26, 2019",275.50,274.95,277.00,274.05,11.78M,-0.43%,
237,"Feb 25, 2019",276.70,274.50,277.15,273.00,30.05M,0.87%,
238,"Feb 22, 2019",274.30,275.60,275.95,273.10,8.76M,-0.27%,
239,"Feb 21, 2019",275.05,275.90,276.75,274.20,7.00M,-0.29%,
240,"Feb 20, 2019",275.85,277.25,277.50,274.25,5.98M,-0.02%,
241,"Feb 19, 2019",275.90,274.00,279.20,274.00,34.45M,0.44%,
242,"Feb 18, 2019",274.70,278.80,282.45,273.90,40.67M,-1.93%,
243,"Feb 15, 2019",280.10,279.00,280.95,275.40,37.55M,0.79%,
244,"Feb 14, 2019",277.90,277.00,280.20,277.00,9.99M,0.38%,
245,"Feb 13, 2019",276.85,280.05,283.90,275.20,15.34M,0.56%,
246,"Feb 12, 2019",275.30,277.05,280.50,274.60,7.34M,-0.65%,
247,"Feb 11, 2019",277.10,275.80,278.20,268.45,9.95M,0.58%,
248,"Feb 08, 2019",275.50,279.50,281.20,274.60,4.41M,-1.71%,
249,"Feb 07, 2019",280.30,277.90,281.00,277.00,5.95M,0.94%,
250,"Feb 06, 2019",277.70,275.00,278.40,274.55,8.10M,1.29%,
251,"Feb 05, 2019",274.15,277.35,277.80,272.50,9.83M,-1.06%,
252,"Feb 04, 2019",277.10,281.90,281.90,276.05,6.06M,-1.34%,
253,"Feb 01, 2019",280.85,280.65,285.20,279.10,18.35M,0.79%,
254,"Jan 31, 2019",278.65,276.50,279.60,273.60,15.35M,1.14%,
255,"Jan 30, 2019",275.50,280.10,280.20,274.20,10.45M,-1.06%,
256,"Jan 29, 2019",278.45,275.30,279.00,274.75,7.00M,1.35%,
257,"Jan 28, 2019",274.75,278.90,279.45,274.20,8.99M,-1.59%,
258,"Jan 25, 2019",279.20,280.00,282.70,278.50,8.90M,0.11%,
259,"Jan 24, 2019",278.90,279.30,283.35,277.85,28.03M,0.58%,
260,"Jan 23, 2019",277.30,291.50,294.40,275.00,40.19M,-4.30%,E
261,"Jan 22, 2019",289.75,289.85,291.00,285.15,10.33M,-0.05%,
262,"Jan 21, 2019",289.90,292.85,293.20,288.70,8.20M,-0.53%,
263,"Jan 18, 2019",291.45,293.25,295.10,290.65,10.99M,-0.85%,
264,"Jan 17, 2019",293.95,294.10,295.60,290.15,10.60M,-0.03%,
265,"Jan 16, 2019",294.05,296.00,296.55,291.70,7.78M,-0.84%,
266,"Jan 15, 2019",296.55,295.25,297.40,294.00,7.21M,0.76%,
267,"Jan 14, 2019",294.30,294.50,294.80,290.00,6.40M,-0.36%,
268,"Jan 11, 2019",295.35,291.90,296.00,291.50,16.77M,1.99%,
269,"Jan 10, 2019",289.60,290.75,293.70,288.90,10.29M,-0.28%,
270,"Jan 09, 2019",290.40,285.60,291.70,284.60,12.18M,2.16%,
271,"Jan 08, 2019",284.25,282.00,285.50,281.35,7.48M,0.92%,
272,"Jan 07, 2019",281.65,284.30,285.25,281.00,9.76M,0.25%,
273,"Jan 04, 2019",280.95,279.15,282.95,279.15,7.81M,0.75%,
274,"Jan 03, 2019",278.85,280.60,282.45,277.75,6.11M,-0.62%,
275,"Jan 02, 2019",280.60,282.25,283.25,277.55,9.93M,-0.74%,
276,"Jan 01, 2019",282.70,282.20,283.55,279.80,2.49M,0.37%,
277,"Dec 31, 2018",281.65,282.80,283.85,281.10,5.45M,-0.21%,
278,"Dec 28, 2018",282.25,279.15,284.00,279.15,13.19M,0.53%,
